-rwxr-xr-x 1 dio dio 1040 Nov  7 22:33 /home/dio/Documents/git/OS_Project/baseline_creator.sh
drwxr-xr-x 2 dio dio 4096 Nov  7 22:33 /home/dio/Documents/git/OS_Project/Baselines
-rw-r--r-- 1 dio dio 570 Nov  7 19:30 /home/dio/Documents/git/OS_Project/Baselines/temp.txt
-rw-r--r-- 1 dio dio 570 Nov  7 19:36 /home/dio/Documents/git/OS_Project/Baselines/test.txt
-rw-r--r-- 1 dio dio 13 Nov  6 23:27 /home/dio/Documents/git/OS_Project/main.sh
-rw-r--r-- 1 dio dio 49 Nov  6 23:27 /home/dio/Documents/git/OS_Project/README.md
-rw-r--r-- 1 dio dio 460 Nov  6 23:27 /home/dio/Documents/git/OS_Project/run_check.sh
-rw-r--r-- 1 dio dio 610 Nov  7 22:33 /home/dio/Documents/git/OS_Project/temp.txt
-rwxr-xr-x 1 dio dio 1039 Nov  7 22:34 /home/dio/Documents/git/OS_Project/baseline_creator.sh
drwxr-xr-x 2 dio dio 4096 Nov  7 22:33 /home/dio/Documents/git/OS_Project/Baselines
-rw-r--r-- 1 dio dio 570 Nov  7 19:30 /home/dio/Documents/git/OS_Project/Baselines/temp.txt
-rw-r--r-- 1 dio dio 570 Nov  7 19:36 /home/dio/Documents/git/OS_Project/Baselines/test.txt
-rw-r--r-- 1 dio dio 13 Nov  6 23:27 /home/dio/Documents/git/OS_Project/main.sh
-rw-r--r-- 1 dio dio 49 Nov  6 23:27 /home/dio/Documents/git/OS_Project/README.md
-rw-r--r-- 1 dio dio 460 Nov  6 23:27 /home/dio/Documents/git/OS_Project/run_check.sh
-rw-r--r-- 1 dio dio 1302 Nov  7 22:34 /home/dio/Documents/git/OS_Project/temp.txt
-rwxr-xr-x 1 dio dio 1019 Nov  7 22:39 /home/dio/Documents/git/OS_Project/baseline_creator.sh
drwxr-xr-x 2 dio dio 4096 Nov  7 22:33 /home/dio/Documents/git/OS_Project/Baselines
-rw-r--r-- 1 dio dio 570 Nov  7 19:30 /home/dio/Documents/git/OS_Project/Baselines/temp.txt
-rw-r--r-- 1 dio dio 570 Nov  7 19:36 /home/dio/Documents/git/OS_Project/Baselines/test.txt
-rw-r--r-- 1 dio dio 13 Nov  6 23:27 /home/dio/Documents/git/OS_Project/main.sh
-rw-r--r-- 1 dio dio 49 Nov  6 23:27 /home/dio/Documents/git/OS_Project/README.md
-rw-r--r-- 1 dio dio 460 Nov  6 23:27 /home/dio/Documents/git/OS_Project/run_check.sh
-rw-r--r-- 1 dio dio 1995 Nov  7 22:39 /home/dio/Documents/git/OS_Project/temp.txt
